db_id,id,question,query,hardness,split,label,prediction,system,number_of_joins,number_of_projections,number_of_filters,number_of_aggregations,number_of_set_operations,number_of_subqueries,run,v1-v2-change,v1-v3-change,v2-v3-change,hardness_numeric,query_length,number_of_keywords,full_column_match,full_value_match,partial_column_match,question_similarity_train_query_id,similarity_score_nl,sql_similarity_train_query_id,similarity_score_sql,no_tokens
exp_v1,122,How many goals did switzerland score in 2018,"select sum(t.g)
from
    (select sum(T2.away_team_goals) as g
 from national_team as T1
     join match as T2 on T2.away_team_id = T1.team_id
 where T1.teamname like '%Switzerland%' and T1.year = 2018
UNION
select sum(T2.home_team_goals) as g
 from national_team as T1
     join match as T2 on T2.home_team_id = T1.team_id
 where T1.teamname like '%Switzerland%' and T1.year = 2018) as t",extra,100,False,,ValueNet,2,1,4,3,1,0,0.0,True,True,True,5,387,1,0,0,0,441,0.856562555,101,0.586563307,51
exp_v1,123,how many goals has France scored in the 2022 world cup,"select sum(t.sum)
from(
SELECT SUM(T2.home_team_goals)
 FROM national_team AS T1
 JOIN match AS T2 ON T2.home_team_id = T1.team_id
 JOIN national_team as T3 ON T2.away_team_id = T3.team_id
 WHERE T2.year = 2022 and T1.teamname ilike '%France'
UNION
SELECT SUM(T2.away_team_goals)
 FROM national_team AS T1
 JOIN match AS T2 ON T2.home_team_id = T1.team_id
 JOIN national_team as T3 ON T2.away_team_id = T3.team_id
 WHERE T2.year = 2022 and T3.teamname ilike '%France') as t",extra,100,False,,ValueNet,4,4,4,3,1,0,0.0,True,True,True,5,473,0,0,0,0,107,0.884670258,808,0.738045738,62
exp_v1,124,How many goals has Giroud scored?,SELECT count(*) FROM match_fact AS T1 JOIN player AS T2 ON T1.player_id = T2.player_id WHERE T1.goal = 'true' and T2.player_name ilike '%Giroud%',medium,100,False,,ValueNet,1,1,2,1,0,0,0.0,False,False,False,2,145,0,1,1,9,110,0.917120218,115,0.95862069,22
exp_v1,136,How many matches were played in each stadium at the 2014 World Cup in Brazil?,"SELECT stadium_name, count(stadium_name)
 FROM stadium JOIN match on stadium.stadium_id = match.stadium_id
 WHERE year = '2014'
 GROUP BY stadium_name
 ORDER BY count(stadium_name) DESC;",extra,100,False,,ValueNet,1,2,1,2,0,0,0.0,False,True,True,4,186,0,0,6,7,164,0.821395218,964,0.553903346,22
exp_v1,142,How many players did the swiss team have in the 2022 world cup,SELECT DISTINCT count(DISTINCT T1.player_name) FROM player AS T1 JOIN player_fact AS T3 ON T1.player_id = T3.player_id JOIN national_team AS T2 ON T3.team_id = T2.team_id WHERE T2.teamname = 'Switzerland' and T2.year = 2022,hard,100,False,,ValueNet,2,3,2,1,0,0,0.0,False,False,False,3,223,0,0,4,13,135,0.802521944,535,0.919282511,32
exp_v1,144,How many players have played so far?,SELECT count(distinct p.player_id) from player as p join player_fact as pf on p.player_id = pf.player_id;,easy,100,False,,ValueNet,1,2,0,1,0,0,0.0,False,False,False,1,105,0,0,0,3,515,0.606597185,490,0.533333333,15
exp_v1,147,How many red cards did the team of england receive in the world cup of 1966?,SELECT count( T1.red_card) FROM match_fact AS T1 JOIN match AS T2 on T2.match_id = T1.match_id JOIN national_team AS T4 on T2.away_team_id = T4.team_id WHERE T4.teamname = 'England' and T2.year = 1966 and T1.red_card = 'true';,hard,100,False,,ValueNet,2,2,3,1,0,0,0.0,True,True,True,3,226,1,1,8,15,146,0.815996826,996,0.650442478,35
exp_v1,155,How many times did England win the world cup,"SELECT count(*)
FROM world_cup AS T1
    JOIN national_team AS T2 ON T1.winner = T2.team_id
WHERE T2.teamname = 'England'",medium,100,True,,ValueNet,1,1,1,1,0,0,0.0,True,True,True,2,121,1,0,4,5,446,0.793739378,170,0.94214876,16
exp_v1,158,How many times did Switzerland play against Brasil,"SELECT count(*)
FROM match AS T1
    JOIN national_team AS T2 ON T2.team_id = T1.home_team_id
    JOIN national_team AS T3 ON T3.team_id = T1.away_team_id
WHERE T2.teamname = 'Switzerland' and T3.teamname = 'Brazil' or T2.teamname = 'Brazil' and T3.teamname = 'Switzerland'",extra,100,False,,ValueNet,2,1,4,1,0,0,0.0,True,True,True,4,273,1,0,4,3,376,0.815612197,956,0.621621622,36
exp_v1,173,How often did italy participate?,SELECT count(*) FROM national_team AS T1 WHERE T1.teamname = 'Italy',easy,100,False,,ValueNet,0,1,1,1,0,0,0.0,False,False,False,1,68,0,0,4,1,792,0.783982396,792,1.0,10
exp_v1,177,In what Stadium did Messi play,"SELECT stadium_name from stadium AS T1
 join match AS T2 on T1.stadium_id = T2.stadium_id
 join national_team AS T3 on T3.team_id = T2.away_team_id
 join player_fact AS T4 on T4.team_id = T3.team_id
 join player AS T5 on T5.player_id = T4.player_id
 where player_name ilike '%Messi%'
 group by T1.stadium_name
UNION
SELECT stadium_name from stadium AS T1
 join match AS T2 on T1.stadium_id = T2.stadium_id
 join national_team AS T3 on T3.team_id = T2.home_team_id
 join player_fact AS T4 on T4.team_id = T3.team_id
 join player AS T5 on T5.player_id = T4.player_id
 where player_name ilike '%Messi%'
 group by T1.stadium_name",extra,100,False,,ValueNet,8,1,2,0,1,0,0.0,True,True,True,4,625,0,0,1,4,178,0.967747331,197,0.4656,89
exp_v1,181,In which club does Messi play?,"SELECT T1.club_team_name 
 FROM player_club_team AS T1 
 JOIN player AS T2 ON T1.player_id = T2.player_id 
 WHERE T2.player_name ilike '%MESSI%'",medium,100,True,,ValueNet,1,1,1,0,0,0,0.0,True,True,False,2,144,0,0,1,4,178,0.783156216,23,0.904458599,21
exp_v1,184,In which country were the least amounts of games played?,"select s.country, count(*)
 from stadium as s
 join match as m on s.stadium_id = m.stadium_id
 group by s.country
 order by count(*) asc
 limit 1;",extra,100,False,,ValueNet,1,2,0,2,0,0,0.0,True,True,True,4,146,5,1,0,4,956,0.614174843,404,0.701986755,24
exp_v1,186,In which coutry is A.C. Milan playing?,select c.country from club as c where c.club_name ilike '%A.C. Milan%';,easy,100,False,,ValueNet,0,1,1,0,0,0,0.0,False,False,False,1,71,0,0,3,2,23,0.576320052,251,0.915492958,11
exp_v1,204,in which year did switzerland win against serbia.,"SELECT T1.year
FROM match AS T1
    JOIN national_team AS T2 ON T1.home_team_id = T2.team_id
    JOIN national_team AS T3 ON T1.away_team_id = T3.team_id
WHERE T2.teamname = 'Switzerland' and T3.teamname = 'Serbia' or T2.teamname = 'Serbia' and T3.teamname = 'Switzerland'
",extra,100,False,,ValueNet,2,1,4,0,0,0,0.0,True,True,True,4,273,1,1,4,9,1074,0.746620893,956,0.608108108,36
exp_v1,214,List all clubs from Switzerland that were founded after 1930.,select * from club as c where c.country = 'Switzerland' and c.found_year > 1930;,medium,100,False,,ValueNet,0,1,2,0,0,0,0.0,False,False,False,2,80,2,0,7,3,91,0.550393879,215,0.625,14
exp_v1,219,"List all players for both teams in the lineup of the first game of 2006. Return the player names, the team name and shirt number.","select distinct nt.teamname, p.player_name, pf.shirt_number
 from player as p
 join player_fact as pf on p.player_id = pf.player_id
 join national_team as nt on pf.team_id = nt.team_id
 where pf.player_id in (
 select mf.player_id
 from match as m
 join match_fact as mf on m.match_id = mf.match_id
 where m.year = 2006 and mf.line_up = 'true'
 and m.match_id in (
 select m.match_id
 from match as m
 where m.year = 2006
 order by m.datetime
 limit 1))",extra,100,False,,ValueNet,3,4,6,0,0,2,0.0,False,True,True,4,453,2,3,7,37,848,0.623701811,234,0.551155116,70
exp_v1,221,List all results from all games played at the Allianz Arena.,"select HNT.teamname, ONT.teamname, m.home_team_goals, m.away_team_goals
 from match as m
 join stadium as s on m.stadium_id = s.stadium_id
 join national_team as HNT on m.home_team_id = HNT.team_id
 join national_team as ONT on ONT.team_id = m.away_team_id
 where s.stadium_name = 'Allianz Arena';",extra,100,False,,ValueNet,3,4,1,0,0,0,0.0,True,True,True,4,297,0,0,1,1,223,0.588428497,50,0.562289562,38
exp_v1,228,List the clubs in which Messi plays,SELECT * FROM player_club_team AS T3 JOIN player AS T2 ON T3.player_id = T2.player_id WHERE T2.player_name ilike '%MESSI%',medium,100,False,,ValueNet,1,1,1,0,0,0,0.0,False,False,False,2,122,0,0,1,4,178,0.702620625,182,0.820143885,18
exp_v1,231,List the home and away teams of all games played in the Giuseppe Meazza stadium.,"select HNT.teamname, ANT.teamname
 from match as m
 join stadium as s on m.stadium_id = s.stadium_id
 join national_team as HNT on m.home_team_id = HNT.team_id
 join national_team as ANT on m.away_team_id = ANT.team_id
 where s.stadium_name = 'Giuseppe Meazza';",extra,100,False,,ValueNet,3,2,1,0,0,0,0.0,True,True,True,4,261,1,0,3,20,97,0.711396515,50,0.544061303,36
exp_v1,246,players of switzerland at worldcup 2018,"SELECT T1.player_name
 FROM player AS T1 JOIN player_fact AS T3 ON T1.player_id = T3.player_id 
 JOIN national_team AS T2 ON T3.team_id = T2.team_id 
 WHERE T2.teamname = 'Switzerland' and T2.year = 2018",hard,100,True,,ValueNet,2,1,2,0,0,0,0.0,False,False,False,3,203,1,0,6,2,245,0.807156146,532,0.965517241,32
exp_v1,259,Show all national teams who have won more than 2 world cups,"SELECT T2.teamname
FROM world_cup AS T1
    JOIN national_team AS T2 ON T1.winner = T2.team_id
GROUP BY T2.teamname
 HAVING COUNT(t1.year) > 2",medium,100,False,,ValueNet,1,1,0,1,0,0,0.0,True,True,True,2,142,1,0,3,10,566,0.771500111,715,0.706666667,19
exp_v1,268,Show Brazilian club names,SELECT * FROM club WHERE country = 'Brazil',easy,100,False,,ValueNet,0,1,1,0,0,0,0.0,False,False,False,1,43,0,1,0,9,312,0.685265064,859,0.654545455,8
exp_v1,284,Show me the name of the player with the most played matches.,"select t1.player_name, count(*) from player as t1
 join match_fact as t13 on t1.player_id = t13.player_id
 group by t1.player_name order by count(*) desc limit 1;",extra,100,False,,ValueNet,1,2,0,2,0,0,0.0,True,True,False,4,162,2,1,0,11,78,0.705833435,393,0.666666667,24
exp_v1,295,Show names of clubs from Austria,SELECT T1.club_name FROM club AS T1 WHERE T1.country = 'Austria',easy,100,True,,ValueNet,0,1,1,0,0,0,0.0,False,False,False,1,64,0,0,3,9,312,0.775143027,850,0.671428571,10
exp_v1,297,Show number of teams in 2022,SELECT count(T1.teamname) from national_team as T1 where T1.year = '2022',easy,100,False,,ValueNet,0,1,1,1,0,0,0.0,False,False,False,1,73,1,0,4,11,573,0.776159763,61,0.712328767,10
exp_v1,314,Show the names of all players from France in 2018,"SELECT T1.player_name
 FROM player AS T1
 JOIN player_fact AS T3 ON T1.player_id = T3.player_id
 JOIN national_team AS T2 ON T3.team_id = T2.team_id
 WHERE T2.teamname = 'France' and T2.year = 2018",hard,100,True,,ValueNet,2,1,2,0,0,0,0.0,True,True,False,3,197,0,0,7,9,332,0.768046558,652,0.960199005,30
exp_v1,319,Show the number of goals of matches with Switzerland against Spain,"SELECT T1.year, T1.teamname as home_team_name, T3.teamname as away_team_name, T2.home_team_goals, T2.away_team_goals
FROM national_team AS T1
    JOIN match AS T2 on T2.home_team_id = T1.team_id
    JOIN national_team AS T3 ON T3.team_id = T2.away_team_id
WHERE (T1.teamname = 'Switzerland' and T3.teamname = 'Spain')
   or (T1.teamname = 'Spain' and T3.teamname = 'Switzerland');
",extra,100,False,,ValueNet,2,9,3,0,0,0,0.0,True,True,True,5,381,2,0,0,0,126,0.800331712,372,0.727034121,44
exp_v1,327,show the result of the final of 2018,"SELECT T2.teamname, T3.teamname, T1.home_team_goals, T1.away_team_goals, T1.year
FROM match AS T1
    JOIN national_team AS T2 ON T1.home_team_id = T2.team_id
    JOIN national_team AS T3 ON T1.away_team_id = T3.team_id
WHERE T1.stage = 'Final' and T1.year = 2018",hard,100,False,,ValueNet,2,5,3,0,0,0,0.0,True,True,True,3,263,0,0,5,0,401,0.736386538,50,0.699619772,32
exp_v1,351,Show the score of Brazil against Argentina,"SELECT T1.year, T2.teamname, T3.teamname, T1.home_team_goals, T1.away_team_goals
FROM match AS T1
    JOIN national_team AS T2 ON T1.home_team_id = T2.team_id
    JOIN national_team AS T3 ON T1.away_team_id = T3.team_id
WHERE T2.teamname = 'Brazil' and T3.teamname = 'Argentina' or T2.teamname = 'Argentina' and T3.teamname = 'Brazil'
",extra,100,False,,ValueNet,2,5,6,0,0,0,0.0,True,True,True,4,335,0,0,4,0,333,0.818804562,90,0.686567164,40
exp_v1,377,What clubs had players at the 2018 World Cup?,"SELECT DISTINCT T1.club_team_name 
 FROM player_club_team AS T1 
 JOIN player AS T3 
 ON T1.player_id = T3.player_id 
 JOIN player_fact AS 
 T4 ON T3.player_id = T4.player_id 
 JOIN national_team AS T2 
 ON T4.team_id = T2.team_id 
 WHERE T2.year = '2018 World Cup'",extra,100,False,,ValueNet,3,2,1,0,0,0,0.0,True,True,False,4,265,0,0,4,5,527,0.78336972,304,0.686468647,45
exp_v1,388,What is the country code of Arrigo Sacchi?,select c.country_code from coach as c where c.coach_name ilike '%Arrigo Sacchi%';,easy,100,True,,ValueNet,0,1,1,0,0,0,0.0,False,False,False,1,81,1,1,2,4,366,0.489517421,249,0.833333333,11
exp_v1,395,what is the result of austria vs. italy,"SELECT T1.teamname, T3.teamname, T2.home_team_goals, T2.away_team_goals, T2.year
 FROM national_team AS T1
     JOIN match AS T2 ON T2.home_team_id = T1.team_id
     JOIN national_team as T3 on T2.away_team_id = T3.team_id
 WHERE T1.teamname = 'Austria' and T3.teamname = 'Italy'
UNION
SELECT T1.teamname, T3.teamname, T2.home_team_goals, T2.away_team_goals, T2.year
 FROM national_team AS T1
     JOIN match AS T2 ON T2.home_team_id = T1.team_id
     JOIN national_team as T3 on T2.away_team_id = T3.team_id
 WHERE T3.teamname = 'Austria' and T1.teamname = 'Italy'",extra,100,False,,ValueNet,4,5,4,0,1,0,0.0,True,True,True,4,565,0,0,4,1,456,0.644917369,332,0.750442478,67
exp_v1,407,what jersey number did David Beckham wore,SELECT T1.teamname FROM national_team AS T1 JOIN player_fact AS T3 ON T1.team_id = T3.team_id JOIN player AS T2 ON T3.player_id = T2.player_id WHERE T2.player_name ilike '%David Beckham%',hard,100,False,,ValueNet,2,1,1,0,0,0,0.0,False,False,False,3,187,1,0,2,2,847,0.555214286,199,0.941176471,27
exp_v1,412,What player was substituted out the most during the 2014 world cup?,"SELECT p.player_name, COUNT(DISTINCT mf.match_id)
 FROM match_fact AS mf
 JOIN match AS m ON m.match_id = mf.match_id
 JOIN player AS p ON p.player_id = mf.player_id
 WHERE m.year = 2014
 AND mf.substitution_out = 'true'
 GROUP BY p.player_name
 ORDER BY COUNT(DISTINCT mf.match_id) DESC
 LIMIT 1",extra,100,False,,ValueNet,2,3,2,2,0,0,0.0,False,True,True,4,296,2,0,4,3,78,0.689947128,411,0.945945946,42
exp_v1,426,What team shot the most goals in 2018,"SELECT T1.teamname, T1.goals FROM national_team AS T1 WHERE T1.year = 2018 ORDER BY T1.goals DESC LIMIT 1",hard,100,False,,ValueNet,0,2,1,0,0,0,0.0,False,False,False,3,105,2,1,4,18,782,0.860365152,622,0.685714286,17
exp_v1,435,What was the result of England vs. Spain,"SELECT DISTINCT T1.coach_name
FROM coach AS T1
    JOIN player_fact AS T2 ON T1.coach_id = T2.coach_id
    JOIN national_team AS T4 ON T2.team_id = T4.team_id
    JOIN match AS T3 ON T4.team_id = T3.home_team_id
WHERE T2.shirt_number = 10 and T3.year = 2006
UNION
SELECT DISTINCT T1.coach_name
FROM coach AS T1
    JOIN player_fact AS T2 ON T1.coach_id = T2.coach_id
    JOIN national_team AS T4 ON T2.team_id = T4.team_id
    JOIN match AS T3 ON T4.team_id = T3.away_team_id
WHERE T2.shirt_number = 10 and T3.year = 2006",extra,100,False,,ValueNet,6,2,4,0,1,0,0.0,True,True,True,4,521,1,0,4,0,373,0.639624238,853,0.568369028,73
exp_v1,438,What was the score between Germany and Brazil in 2014?,"SELECT T2.teamname, T3.teamname, T1.home_team_goals, T1.away_team_goals
FROM match AS T1
    JOIN national_team AS T2 ON T2.team_id = T1.home_team_id
    JOIN national_team AS T3 ON T3.team_id = T1.away_team_id
WHERE T3.teamname like '%Brazil%' and T2.teamname like '%Germany%' and T1.year = 2014
UNION
SELECT T2.teamname, T3.teamname, T1.home_team_goals, T1.away_team_goals
FROM match AS T1
    JOIN national_team AS T2 ON T2.team_id = T1.home_team_id
    JOIN national_team AS T3 ON T3.team_id = T1.away_team_id
WHERE T2.teamname like '%Brazil%' and T3.teamname ilike '%Germany%' and T1.year = 2014",extra,100,False,,ValueNet,4,4,6,0,1,0,0.0,True,True,True,4,600,2,0,6,1,109,0.808224082,332,0.656666667,69
exp_v1,447,when did England win the world cup,"SELECT T2.year
 FROM national_team AS T1
 JOIN world_cup AS T2 ON T2.winner = T1.team_id
 WHERE T1.teamname ilike '%England%'
 ORDER BY T2.year DESC",hard,100,False,,ValueNet,1,1,1,0,0,0,0.0,True,True,True,3,148,1,0,4,3,446,0.870731473,446,0.751633987,22
exp_v1,491,Which distinct players have gotten at lleast one yellow card at the world cup? Return the name.,"select distinct t1.player_name
 from player as t1
 join match_fact as t2 on t2.player_id = t1.player_id
 where t2.yellow_card = 'true';",medium,100,True,,ValueNet,1,2,1,0,0,0,0.0,True,True,False,2,135,2,1,4,13,489,0.928261876,490,0.963768116,19
exp_v1,492,Which distinct players have scored at least a goal at the world cup? Return the name.,"select distinct t1.player_name
 from player as t1
 join match_fact as t2 on t2.player_id = t1.player_id
 where t2.goal = 'true';",medium,100,True,,ValueNet,1,2,1,0,0,0,0.0,True,True,False,2,128,3,1,0,17,411,0.755590916,490,0.948148148,19
exp_v1,506,Which national team won the world cup in 1998,"SELECT T1.teamname
FROM national_team AS T1
    JOIN world_cup AS T2 ON T1.team_id = T2.winner
WHERE T2.year = 1998",medium,100,False,,ValueNet,1,1,1,0,0,0,0.0,True,True,True,2,115,0,0,4,10,757,0.806962729,954,0.991304348,16
exp_v1,518,which player has the most yellow cards overall?,"SELECT T1.player_name, count( T2.yellow_card) FROM player AS T1 JOIN match_fact AS T2 ON T1.player_id = T2.player_id GROUP BY T1.player_name ORDER BY count( T2.yellow_card) DESC LIMIT 1",extra,100,False,,ValueNet,1,3,0,2,0,0,0.0,False,False,False,4,185,2,1,0,7,884,0.711764157,515,0.67027027,26
exp_v1,528,which players have played in the final of worldcup 2014,"SELECT DISTINCT T1.player_name
 FROM player AS T1
     JOIN player_fact AS T3 ON T1.player_id = T3.player_id
     JOIN national_team AS T2 ON T3.team_id = T2.team_id
     JOIN match AS T4 ON T2.team_id = T4.home_team_id
 WHERE T4.stage = 'Final' and T4.year = 2014
UNION
SELECT DISTINCT T1.player_name
 FROM player AS T1
     JOIN player_fact AS T3 ON T1.player_id = T3.player_id
     JOIN national_team AS T2 ON T3.team_id = T2.team_id
     JOIN match AS T4 ON T2.team_id = T4.away_team_id
 WHERE T4.stage = 'Final' and T4.year = 2014",extra,100,False,,ValueNet,6,2,6,0,1,0,0.0,True,True,True,4,535,0,0,5,4,575,0.710785329,853,0.630971993,77
exp_v1,529,Which players of the world cup 2022 were born in 2004 or later?,"SELECT DISTINCT T2.player_name
 FROM national_team AS T1
 JOIN player_fact AS T4 ON T1.team_id = T4.team_id
 JOIN player AS T2 ON T4.player_id = T2.player_id
 JOIN match_fact AS T5 ON T2.player_id = T5.player_id
 JOIN match AS T3 ON T5.match_id = T3.match_id
 WHERE T2.dob >= '2004-01-01' and T3.year = 2022",extra,100,False,,ValueNet,4,2,2,0,0,0,0.0,False,True,True,4,307,0,0,4,3,738,0.716699123,662,0.867867868,47
exp_v1,530,Which players play for Bayern Munich ?,"select distinct p.player_name
 from player AS p 
 join player_club_team AS pc on p.player_id = pc.player_id
 join club AS c on pc.club_id = c.club_id
 where club_team_name = 'FC Bayern Munich'",hard,100,False,,ValueNet,2,2,1,0,0,0,0.0,True,True,False,3,192,0,0,3,2,526,0.63752383,41,0.683673469,30
exp_v1,534,Which players played for Switzerland in 2014? Return the names of the players,"select distinct p.player_name from player as p 
 join player_fact as pf on p.player_id = pf.player_id 
 join national_team as nt on pf.team_id = nt.team_id
 where nt.teamname = 'Switzerland' and year = 2014;",hard,100,False,,ValueNet,2,2,2,0,0,0,0.0,False,False,False,3,207,1,0,6,12,535,0.862837374,43,0.753623188,33
exp_v1,551,Which stadium hosts the most games,"SELECT T1.stadium_name, count(*) FROM stadium AS T1 JOIN match AS T2 ON T1.stadium_id = T2.stadium_id GROUP BY T1.stadium_name ORDER BY count(*) DESC LIMIT 1",extra,100,False,,ValueNet,1,2,0,2,0,0,0.0,False,True,True,4,157,2,0,0,2,179,0.770503819,550,0.74522293,24
exp_v1,552,Which Stadium was used the most?,SELECT T1.stadium_name FROM stadium AS T1 GROUP BY T1.stadium_name ORDER BY count(*) DESC LIMIT 1,hard,100,True,,ValueNet,0,1,0,1,0,0,0.0,False,False,False,3,97,2,0,0,2,179,0.7534343,179,0.762886598,15
exp_v1,554,which stadiumm has the largest capacity and how much,"SELECT T1.capacity, T1.stadium_name FROM stadium AS T1 GROUP BY T1.capacity, T1.stadium_name ORDER BY max( T1.capacity) DESC LIMIT 1",hard,100,False,,ValueNet,0,2,0,1,0,0,0.0,False,False,False,3,132,2,1,0,1,550,0.762898684,179,0.590909091,18
exp_v1,565,which team has won the most championchips,"SELECT T1.teamname, count(*)
FROM national_team AS T1
    JOIN world_cup AS T2 ON T1.team_id = T2.winner
GROUP BY T1.teamname ORDER BY count(*) DESC LIMIT 1",extra,100,True,,ValueNet,1,2,0,2,0,0,0.0,True,True,True,4,156,2,0,0,9,566,0.70251298,409,1.0,22
exp_v1,567,Which team has won the world cup the most? Return the team name and the number of wins,"select nt.teamname, count(*) from world_cup as wc
 join national_team as nt
 on wc.winner = nt.team_id
 group by nt.team_initials, nt.teamname
 order by count(*) desc limit 1;",extra,100,True,,ValueNet,1,2,0,2,0,0,0.0,True,True,True,4,175,4,1,0,27,757,0.849191785,716,0.685714286,25
exp_v1,568,Which team is in Group A,"SELECT DISTINCT national_team.teamname FROM match JOIN national_team on match.away_team_id = national_team.team_id
WHERE match.year = 2022 and match.stage = 'Group A';",medium,100,False,,ValueNet,1,2,2,0,0,0,0.0,True,True,True,2,167,0,0,1,11,596,0.726186275,50,0.421940928,19
exp_v1,569,Which team is in Group A in 2018,"select distinct T2.teamname
 from match as T1
 join national_team as T2 on T2.team_id = T1.home_team_id
 where T1.year = 2018 and T1.stage = 'Group A'
UNION
select distinct T2.teamname
 from match as T1
 join national_team as T2 on T2.team_id = T1.away_team_id
 where T1.year = 2018 and T1.stage = 'Group A'",extra,100,False,,ValueNet,2,2,4,0,1,0,0.0,True,True,True,4,307,0,0,5,12,602,0.693166256,981,0.654723127,47
